rem,x0,y0,size,step,height,feeder_height,offset
rem,x,y,angle,value,package,,
,,,,,,,
line0,120,5,58,2,0.5,0.5,72
line1,130,5,57,,,,
C38,29.50,8.20,90,0.1uF,SMD_0402,,
C39,37.70,9.90,90,0.1uF,SMD_0402,,
C51,21.10,26.30,90,0.1uF,SMD_0402,,
C31,24.10,18.60,90,0.1uF,SMD_0402,,
C35,33.40,29.90,90,0.1uF,SMD_0402,,
C57,33.30,17.00,90,0.1uF,SMD_0402,,
C58,34.40,15.80,90,0.1uF,SMD_0402,,
,,,,,,,
line0,230,167,12,2,0.5,0.5,0
R113,18.10,24.00,90,00R,SMD_0402,,
,,,,,,,
line0,180,103,48,2,0.5,0.5,18
BLM7,26.30,17.20,90,0R,SMD_0402,,
BLM2,16.80,24.00,90,0R,SMD_0402,,
BLM4,14.50,3.10,90,0R,SMD_0402,,
BLM6,31.30,19.30,90,0R,SMD_0402,,
BLM8,24.80,22.20,90,0R,SMD_0402,,
,,,,,,,
line0,120,137,30,2,0.5,0.5,6
R25,25.80,29.90,90,10k,SMD_0402,,
U$17,32.70,21.30,90,10k,SMD_0402,,
U$18,32.70,23.70,90,10k,SMD_0402,,
U$16,36.90,24.10,90,10k,SMD_0402,,
,,,,,,,
line0,140,167,12,2,0.5,0.5,6
C42,37.70,12.90,90,12pF,SMD_0402,,
,,,,,,,
line0,170,103,48,2,0.5,0.5,36
C24,20.60,3.10,90,1uF,SMD_0402,,
C30,25.20,18.60,90,1uF,SMD_0402,,
,,,,,,,
line0,110,167,12,2,0.5,0.5,0
R14,22.20,26.30,90,330k,SMD_0402,,
R15,20.00,26.30,90,330k,SMD_0402,,
